Name,Energy,Carbohydrate,Sugar,Protein,Fat,SaturatedFat,Fiber,Cost,CustomWeights,Quickselect
Patata dolce,114,24.1,4.6,1.6,0.6,0,3.1,0.35,,n
Patatine,535,51,2.1,6.5,33,3,4,1.00,,n
Patatine fritte (surgelate),135,23.4,0.5,2.3,3,0.3,2.8,0.15,,n
Peperone,37,5.3,5,1.2,0.3,0,3.6,0.40,,n
Pera,58,12.4,10.3,0.5,0.3,0.1,2.8,0.20,,n
Pesca,44,8.9,8.2,0.8,0.1,0.1,1.9,0.20,,y
Pesce (affumicato),252,0,0,18,20,4.2,0,2.50,,n
Petto di pollo,102,0,0,23.6,0.7,0.4,0,0.50,,n
Piselli (freschi),91,12.3,1.3,6.6,0.5,0.1,4.3,0.40,,n
Polpettone (vegano),166,1.8,0.2,8,13,1,5,1.40,,n
Pomodori (passata),35,4.9,4,1.7,0.2,0,1.4,0.14,,n
Pomodoro,18,2.6,2.5,1,0.2,0.1,1,0.25,,y
Pompelmo,45,7.4,7.4,0.6,0.2,0.1,0.6,0.20,,n
Prosciutto,117,2.3,0.8,17,4.4,1.7,0,1.80,,n
Prugna,48,10.2,7.8,0.6,0.2,0,1.6,0.25,,n
Quinoa,347,58.5,1.8,13.8,5,0.5,6.6,0.40,,n
Ravanello,17,2.1,2.1,1.1,0.1,0,1.6,0.10,,n
Riso (bianco),347,77.7,0.3,6.8,0.6,0.2,1.4,0.15,,y
Riso (cotto),101,22.7,0.09,1.98,0.18,0.06,0.41,0.04,,n
Riso (integrale),349,74.1,0.8,7.2,2.2,0.4,2.2,0.20,,n
Salame,371,0,0,18.5,33,25,0.5,1.80,,n
Salame (vegano),264,9.5,4.7,33,9.6,0.8,3.6,1.50,,n
Salmone,210,0,0,21,14,2,0,1.00,,n
Salmone (affumicato),167,0,0,21,9,1.3,0,3.00,,n
Salmone (vegano),67,12,3.5,1,1,0.4,0,2.00,,n
Salsa di soia,84,9.8,2,9,0,0,0,0.70,,n
Salsiccia (cruda),240,1.2,0.6,17,19,6.2,0,0.50,,n
Salsiccia (vegana),122,3.8,2.3,2.2,9.2,0.7,7.4,1.20,,n
Salsiccia di fegato,354,0.9,0.6,13.9,33.2,20,0,1.00,,n
Sandwich,254,26,1.8,5,14,3.7,2.1,1.20,,n
Sedano rapa,27,2.3,1.9,1.6,0.3,0,4.2,0.25,,n
Seitan,129,7.7,0.6,21,1.3,0.2,1.4,1.25,,n
Senape (Digione),121,5.4,5.4,6,6.5,0.4,3,0.50,,n
Senape (dolce),225,39,38,7,2.8,0.2,3,0.50,,n
Sgombro (affumicato),252,0,0,18,20,4.2,0,1.80,,n
Spaghetti di riso,362,88,0,0.4,0.4,0,2.5,0.10,,n
Spinaci,21,0.6,0.5,2.7,0.3,0.1,2.6,0.30,,n
Succo d'arancia,38,8.7,8.7,0.4,0,0,0.1,0.10,,n
Sushi (con pesce),115,15.1,0.06,7.92,2.22,0.71,0.27,0.36,,n
Tempeh,204,4.2,0.2,20,11,1.5,4.2,1.20,,n
Tofu (naturale),126,0,0,13,7.9,1.4,0,0.70,,n
Tonno (sott'olio),188,0,0,25,9.5,1.7,0,0.75,,n
Tonno (vegano),150,1.1,0.7,12,10,0.9,0,1.50,,n
Topinambur,53,4,4,2.4,0.4,0.1,12.1,0.20,,n
Tortellini (secchi),315,47,0.9,11.5,8.5,3.2,2.2,0.25,,n
