Name,Energy,Carbohydrate,Sugar,Protein,Fat,SaturatedFat,Fiber,Cost,CustomWeights,Quickselect
Porc (moyen),184,0,0,19,12,7,0,1.00,,n
Prune,48,10.2,7.8,0.6,0.2,0,1.6,0.25,,n
Quenelles de pain,156,18.8,3.4,6.9,5.6,2.1,1.2,0.60,,n
Quinoa,347,58.5,1.8,13.8,5,0.5,6.6,0.40,,n
Radis,17,2.1,2.1,1.1,0.1,0,1.6,0.10,,n
Raisins,69,15.2,15.1,0.7,0.3,0.1,1.5,0.25,,y
Raisins secs,292,68,68,2.5,0.3,0.1,5.2,0.30,,n
Riz (blanc),347,77.7,0.3,6.8,0.6,0.2,1.4,0.15,,y
Riz (complet),349,74.1,0.8,7.2,2.2,0.4,2.2,0.20,,n
Riz (cuit),101,22.7,0.09,1.98,0.18,0.06,0.41,0.04,,n
Salade d'oeufs,58,3.2,2,4,2.8,0.8,1.5,1.20,,n
Salade de mozzarella,104,2.1,0.8,4.1,8.6,2.4,1.5,1.20,,n
Salade de pois chiches,225,15.9,5.9,5.8,13.9,2.1,6.3,0.25,,n
Salade de pommes de terre (huile),110,12.8,1,1.4,5.5,0.7,2,0.60,,n
Salade de pommes de terre (mayo),150,14,3.5,1.4,9.6,1.4,1,0.60,,n
Salade de thon,81,2.5,1.7,7.8,4.1,0.8,1.5,1.20,,n
Salami,371,0,0,18.5,33,25,0.5,1.80,,n
Salami (vegan),264,9.5,4.7,33,9.6,0.8,3.6,1.50,,n
Sandwich,254,26,1.8,5,14,3.7,2.1,1.20,,n
Sarrasin,350,71,0.4,9.8,1.7,0.4,3.7,0.30,,n
Sauce soja,84,9.8,2,9,0,0,0,0.70,,n
Saucisse (crue),240,1.2,0.6,17,19,6.2,0,0.50,,n
Saucisse (vegan),122,3.8,2.3,2.2,9.2,0.7,7.4,1.20,,n
Saucisse de foie,354,0.9,0.6,13.9,33.2,20,0,1.00,,n
Saumon,210,0,0,21,14,2,0,1.00,,n
Saumon (fume),167,0,0,21,9,1.3,0,3.00,,n
Saumon (vegan),67,12,3.5,1,1,0.4,0,2.00,,n
Schnitzel (vegan),211,13,1.2,14,10,0.9,6.4,1.40,,n
Seitan,129,7.7,0.6,21,1.3,0.2,1.4,1.25,,n
Soda,40,10,10,0,0,0,0,0.10,,n
Soupe a la courge,36,7.18,2.21,0.79,0.14,0,1.41,0.40,,n
Steak (vegan),177,6.7,1.7,13,9.8,0.9,4.9,1.00,,n
Sucre,400,100,100,0,0,0,0,0.15,,n
Sushi (avec poisson),115,15.1,0.06,7.92,2.22,0.71,0.27,0.36,,n
Tempeh,204,4.2,0.2,20,11,1.5,4.2,1.20,,n
Thon (a l'huile),188,0,0,25,9.5,1.7,0,0.75,,n
Thon (vegan),150,1.1,0.7,12,10,0.9,0,1.50,,n
Tofu (nature),126,0,0,13,7.9,1.4,0,0.70,,n
Tomate,18,2.6,2.5,1,0.2,0.1,1,0.25,,y
Tomates (passees),35,4.9,4,1.7,0.2,0,1.4,0.14,,n
Topinambour,53,4,4,2.4,0.4,0.1,12.1,0.20,,n
Tortellini (secs),315,47,0.9,11.5,8.5,3.2,2.2,0.25,,n
Tortilla,296,51,4.7,7.9,5.9,1.1,4.4,0.40,,n
Vermicelles de rice,362,88,0,0.4,0.4,0,2.5,0.10,,n
Vinaigrette,525,10.3,10.3,0.83,52.7,7.88,0.39,0.53,,n
Vinegar (pomme),22,1.2,1.2,0.2,0,0,0,0.15,,n
Wrap (avocat),181,25,3.2,4.3,6.2,0.9,3.9,1.20,,n
Wrap (poulet),273,27,3.7,9.4,14,1.3,0.8,0.35,,n
Yaourt (3.5%),69,3.8,3.8,4.8,3.5,2.3,0,0.30,,n
Yaourt (amande),61,6.4,0.2,1.3,3.1,0.2,1,0.40,,n
Yaourt (coco),94,5.2,0.8,0.7,7.7,7.1,0.5,0.50,,n
Yaourt (grec 2%),58,4,4,6,2,1.4,0,0.35,,n
